UAR Code,Principal / Duplicate
TNS_0150_V,PRINCIPAL
TNS_0151_V,PRINCIPAL
TNS_0152_V,PRINCIPAL
TNS_0153_V,PRINCIPAL
TNS_0154_V,PRINCIPAL
TNS_0155_V,PRINCIPAL
TNS_0156_V,PRINCIPAL
TNS_0157_V,DUPLICATE
TNS_0158_V,PRINCIPAL
TNS_0159_V,DUPLICATE
TNS_0160_V,PRINCIPAL
TNS_0161_V,DUPLICATE
TNS_0162_V,PRINCIPAL
TNS_0163_V,DUPLICATE
TNS_0164_V,PRINCIPAL
TNS_0165_V,DUPLICATE
TNS_0166_V,PRINCIPAL
TNS_0167_V,PRINCIPAL
TNS_0168_V,PRINCIPAL
TNS_0169_V,PRINCIPAL
TNS_0170_V,PRINCIPAL
TNS_0171_V,PRINCIPAL
TNS_0172_V,PRINCIPAL
TNS_0173_V,DUPLICATE
TNS_0174_V,PRINCIPAL
TNS_0175_V,PRINCIPAL
TNS_0176_V,PRINCIPAL
TNS_0177_V,PRINCIPAL
TNS_0178_V,DUPLICATE
TNS_0179_V,PRINCIPAL
TNS_0180_V,DUPLICATE
TNS_0181_V,DUPLICATE
TNS_0182_V,PRINCIPAL
TNS_0183_V,PRINCIPAL
TNS_0184_V,PRINCIPAL
TNS_0185_V,PRINCIPAL
TNS_0186_V,PRINCIPAL
TNS_0187_V,PRINCIPAL
TNS_0188_V,DUPLICATE
TNS_0189_V,PRINCIPAL
TNS_0190_V,PRINCIPAL
TNS_0191_V,DUPLICATE
TNS_0192_V,DUPLICATE
TNS_0193_V,PRINCIPAL
TNS_0194_V,DUPLICATE
TNS_0195_V,DUPLICATE
TNS_0196_V,PRINCIPAL
TNS_0197_V,DUPLICATE
TNS_0198_V,PRINCIPAL
TNS_0199_V,PRINCIPAL
TNS_0200_V,DUPLICATE
TNS_0201_V,PRINCIPAL
TNS_0202_V,PRINCIPAL
TNS_0203_V,DUPLICATE
TNS_0204_V,DUPLICATE
TNS_0205_V,PRINCIPAL
TNS_0206_V,PRINCIPAL
TNS_0207_V,DUPLICATE
TNS_0208_V,PRINCIPAL
TNS_0209_V,DUPLICATE
TNS_0210_V,PRINCIPAL
TNS_0211_V,PRINCIPAL
TNS_0212_V,PRINCIPAL
TNS_0213_V,DUPLICATE
TNS_0214_V,PRINCIPAL
TNS_0215_V,PRINCIPAL
TNS_0216_V,DUPLICATE
TNS_0217_V,DUPLICATE
TNS_0218_V,DUPLICATE
TNS_0219_V,PRINCIPAL
TNS_0220_V,PRINCIPAL
TNS_0221_V,PRINCIPAL
TNS_0222_V,PRINCIPAL
TNS_0223_V,PRINCIPAL
TNS_0224_V,PRINCIPAL
TNS_0225_V,PRINCIPAL
TNS_0226_V,PRINCIPAL
TNS_0227_V,DUPLICATE
TNS_0228_V,PRINCIPAL
TNS_0229_V,PRINCIPAL
TNS_0230_V,PRINCIPAL
TNS_0231_V,PRINCIPAL
TNS_0232_V,PRINCIPAL
TNS_0233_V,PRINCIPAL
TNS_0234_V,PRINCIPAL
TNS_0235_V,PRINCIPAL
TNS_0236_V,PRINCIPAL
TNS_0237_V,PRINCIPAL
TNS_0238_V,DUPLICATE
TNS_0239_V,PRINCIPAL
TNS_0240_V,PRINCIPAL
TNS_0241_V,PRINCIPAL
TNS_0242_V,PRINCIPAL
TNS_0243_V,PRINCIPAL
TNS_0244_V,PRINCIPAL
TNS_0245_V,PRINCIPAL
TNS_0246_V,PRINCIPAL
TNS_0247_V,PRINCIPAL
TNS_0248_V,PRINCIPAL
TNS_0249_V,PRINCIPAL
TNS_0250_V,PRINCIPAL
TNS_0251_V,PRINCIPAL
TNS_0252_V,PRINCIPAL
TNS_0253_V,DUPLICATE
TNS_0254_V,PRINCIPAL
TNS_0255_V,PRINCIPAL
TNS_0256_V,DUPLICATE
TNS_0257_V,DUPLICATE
TNS_0258_V,PRINCIPAL
TNS_0259_V,PRINCIPAL
TNS_0260_V,PRINCIPAL
TNS_0261_V,PRINCIPAL
TNS_0262_V,PRINCIPAL
TNS_0263_V,PRINCIPAL
TNS_0264_V,DUPLICATE
TNS_0265_V,DUPLICATE
TNS_0266_V,DUPLICATE
TNS_0267_V,PRINCIPAL
TNS_0268_V,DUPLICATE
TNS_0269_V,PRINCIPAL
TNS_0270_V,DUPLICATE
TNS_0271_V,PRINCIPAL
TNS_0272_V,PRINCIPAL
TNS_0273_V,PRINCIPAL
TNS_0274_V,DUPLICATE
TNS_0275_V,PRINCIPAL
TNS_0276_V,DUPLICATE
TNS_0277_V,PRINCIPAL
TNS_0278_V,PRINCIPAL
TNS_0279_V,DUPLICATE
TNS_0280_V,PRINCIPAL
TNS_0281_V,PRINCIPAL
TNS_0282_V,PRINCIPAL
TNS_0283_V,PRINCIPAL
TNS_0284_V,PRINCIPAL
TNS_0285_V,PRINCIPAL
TNS_0286_V,DUPLICATE
TNS_0287_V,PRINCIPAL
TNS_0288_V,PRINCIPAL
TNS_0289_V,PRINCIPAL
TNS_0290_V,PRINCIPAL
TNS_0291_V,DUPLICATE
TNS_0292_V,DUPLICATE
TNS_0293_V,PRINCIPAL
TNS_0294_V,PRINCIPAL
TNS_0295_V,PRINCIPAL
TNS_0296_V,PRINCIPAL
TNS_0297_V,PRINCIPAL
TNS_0298_V,PRINCIPAL
TNS_0299_V,PRINCIPAL
TNS_0300_V,PRINCIPAL
TNS_0301_V,PRINCIPAL
TNS_0302_V,PRINCIPAL
TNS_0303_V,DUPLICATE
TNS_0304_V,DUPLICATE
TNS_0305_V,DUPLICATE
TNS_0306_V,DUPLICATE
TNS_0307_V,PRINCIPAL
TNS_0308_V,DUPLICATE
TNS_0309_V,PRINCIPAL
TNS_0310_V,PRINCIPAL
TNS_0311_V,PRINCIPAL
TNS_0312_V,PRINCIPAL
TNS_0313_V,PRINCIPAL
TNS_0314_V,PRINCIPAL
TNS_0315_V,DUPLICATE
TNS_0316_V,DUPLICATE
TNS_0317_V,DUPLICATE
TNS_0318_V,PRINCIPAL
TNS_0319_V,PRINCIPAL
TNS_0320_V,PRINCIPAL
TNS_0321_V,DUPLICATE
TNS_0322_V,PRINCIPAL
TNS_0323_V,PRINCIPAL
TNS_0324_V,DUPLICATE
TNS_0325_V,PRINCIPAL
TNS_0326_V,DUPLICATE
TNS_0327_V,PRINCIPAL
TNS_0328_V,PRINCIPAL
TNS_0329_V,DUPLICATE
TNS_0330_V,DUPLICATE
TNS_0331_V,DUPLICATE
TNS_0332_V,DUPLICATE
TNS_0333_V,DUPLICATE
TNS_0334_V,DUPLICATE
TNS_0335_V,DUPLICATE
TNS_0336_V,DUPLICATE
TNS_0337_V,DUPLICATE
TNS_0338_V,PRINCIPAL
TNS_0339_V,DUPLICATE
TNS_0340_V,DUPLICATE
TNS_0341_V,DUPLICATE
TNS_0342_V,DUPLICATE
TNS_0343_V,DUPLICATE
TNS_0344_V,DUPLICATE
TNS_0345_V,DUPLICATE
TNS_0346_V,DUPLICATE
TNS_0347_V,PRINCIPAL
TNS_0348_V,DUPLICATE
TNS_0349_V,PRINCIPAL
TNS_0350_V,PRINCIPAL
TNS_0351_V,DUPLICATE
TNS_0352_V,DUPLICATE
TNS_0353_V,DUPLICATE
TNS_0354_V,DUPLICATE
TNS_0355_V,DUPLICATE
TNS_0356_V,DUPLICATE
TNS_0357_V,DUPLICATE
TNS_0358_V,DUPLICATE
TNS_0359_V,DUPLICATE
TNS_0360_V,DUPLICATE
TNS_0361_V,PRINCIPAL
TNS_0362_V,PRINCIPAL
TNS_0363_V,PRINCIPAL
TNS_0364_V,PRINCIPAL
TNS_0365_V,PRINCIPAL
TNS_0366_V,PRINCIPAL
TNS_0367_V,PRINCIPAL
TNS_0368_V,PRINCIPAL
TNS_0369_V,PRINCIPAL
TNS_0370_V,PRINCIPAL
TNS_0371_V,PRINCIPAL
TNS_0372_V,PRINCIPAL
TNS_0373_V,DUPLICATE
TNS_0374_V,DUPLICATE
TNS_0375_V,PRINCIPAL
TNS_0376_V,DUPLICATE
TNS_0377_V,PRINCIPAL
TNS_0378_V,PRINCIPAL
TNS_0379_V,DUPLICATE
TNS_0380_V,DUPLICATE
TNS_0381_V,PRINCIPAL
TNS_0382_V,DUPLICATE
TNS_0383_V,DUPLICATE
TNS_0384_V,PRINCIPAL
TNS_0385_V,DUPLICATE
TNS_0386_V,PRINCIPAL
TNS_0387_V,PRINCIPAL
TNS_0388_V,PRINCIPAL
TNS_0389_V,PRINCIPAL
TNS_0390_V,PRINCIPAL
TNS_0391_V,DUPLICATE
TNS_0392_V,DUPLICATE
TNS_0393_V,DUPLICATE
TNS_0394_V,DUPLICATE
TNS_0395_V,PRINCIPAL
TNS_0396_V,DUPLICATE
TNS_0397_V,DUPLICATE
TNS_0398_V,DUPLICATE
TNS_0399_V,PRINCIPAL
TNS_0400_V,DUPLICATE
TNS_0401_V,PRINCIPAL
TNS_0402_V,PRINCIPAL
TNS_0403_V,DUPLICATE
TNS_0404_V,DUPLICATE
TNS_0405_V,DUPLICATE
TNS_0406_V,DUPLICATE
TNS_0407_V,DUPLICATE
TNS_0408_V,DUPLICATE
TNS_0409_V,DUPLICATE
TNS_0410_V,DUPLICATE
TNS_0411_V,DUPLICATE
TNS_0412_V,PRINCIPAL
TNS_0413_V,DUPLICATE
TNS_0414_V,DUPLICATE
TNS_0415_V,PRINCIPAL
TNS_0416_V,DUPLICATE
TNS_0417_V,PRINCIPAL
TNS_0418_V,PRINCIPAL
TNS_0419_V,PRINCIPAL
TNS_0420_V,DUPLICATE
TNS_0421_V,DUPLICATE
TNS_0422_V,DUPLICATE
TNS_0423_V,DUPLICATE
TNS_0424_V,DUPLICATE
TNS_0425_V,DUPLICATE
TNS_0426_V,PRINCIPAL
TNS_0427_V,DUPLICATE
TNS_0428_V,PRINCIPAL
TNS_0429_V,PRINCIPAL
TNS_0430_V,PRINCIPAL
TNS_0431_V,PRINCIPAL
TNS_0432_V,PRINCIPAL
TNS_0433_V,PRINCIPAL
TNS_0434_V,PRINCIPAL
TNS_0435_V,PRINCIPAL
TNS_0436_V,DUPLICATE
TNS_0437_V,DUPLICATE
TNS_0438_V,DUPLICATE
TNS_0439_V,PRINCIPAL
TNS_0440_V,PRINCIPAL
TNS_0441_V,PRINCIPAL
TNS_0442_V,DUPLICATE
TNS_0443_V,PRINCIPAL
TNS_0444_V,PRINCIPAL
TNS_0445_V,PRINCIPAL
TNS_0446_V,PRINCIPAL
TNS_0447_V,DUPLICATE
TNS_0448_V,PRINCIPAL
TNS_0449_V,DUPLICATE
TNS_0450_V,PRINCIPAL
TNS_0451_V,DUPLICATE
TNS_0452_V,PRINCIPAL
TNS_0453_V,PRINCIPAL
TNS_0454_V,PRINCIPAL
TNS_0455_V,PRINCIPAL
TNS_0456_V,DUPLICATE
TNS_0457_V,PRINCIPAL
TNS_0458_V,DUPLICATE
TNS_0459_V,DUPLICATE
TNS_0460_V,PRINCIPAL
TNS_0461_V,DUPLICATE
TNS_0462_V,PRINCIPAL
TNS_0463_V,PRINCIPAL
TNS_0464_V,PRINCIPAL
TNS_0465_V,PRINCIPAL
TNS_0466_V,DUPLICATE
TNS_0467_V,PRINCIPAL
TNS_0468_V,PRINCIPAL
TNS_0469_V,DUPLICATE
TNS_0470_V,PRINCIPAL
TNS_0471_V,PRINCIPAL
TNS_0472_V,PRINCIPAL
TNS_0473_V,PRINCIPAL
TNS_0474_V,PRINCIPAL
TNS_0475_V,PRINCIPAL
TNS_0476_V,PRINCIPAL
TNS_0477_V,PRINCIPAL
TNS_0478_V,DUPLICATE
TNS_0479_V,PRINCIPAL
TNS_0480_V,PRINCIPAL
TNS_0481_V,DUPLICATE
TNS_0482_V,DUPLICATE
TNS_0483_V,PRINCIPAL
TNS_0484_V,DUPLICATE
TNS_0485_V,DUPLICATE
TNS_0486_V,DUPLICATE
TNS_0487_V,DUPLICATE
TNS_0488_V,DUPLICATE
TNS_0489_V,DUPLICATE
TNS_0490_V,PRINCIPAL
TNS_0491_V,PRINCIPAL
TNS_0492_V,PRINCIPAL
TNS_0493_V,PRINCIPAL
TNS_0494_V,PRINCIPAL
TNS_0495_V,PRINCIPAL
TNS_0496_V,PRINCIPAL
TNS_0497_V,PRINCIPAL
TNS_0498_V,DUPLICATE
TNS_0499_V,DUPLICATE
TNS_0500_V,PRINCIPAL
TNS_0501_V,PRINCIPAL
TNS_0502_V,PRINCIPAL
TNS_0503_V,PRINCIPAL
TNS_0504_V,PRINCIPAL
TNS_0505_V,PRINCIPAL
TNS_0506_V,PRINCIPAL
TNS_0507_V,PRINCIPAL
TNS_0508_V,DUPLICATE
TNS_0509_V,DUPLICATE
TNS_0510_V,PRINCIPAL
TNS_0511_V,DUPLICATE
TNS_0512_V,DUPLICATE
TNS_0513_V,DUPLICATE
TNS_0514_V,DUPLICATE
TNS_0515_V,PRINCIPAL
TNS_0516_V,DUPLICATE
TNS_0517_V,DUPLICATE
TNS_0518_V,DUPLICATE
TNS_0519_V,DUPLICATE
TNS_0520_V,DUPLICATE
TNS_0521_V,DUPLICATE
TNS_0522_V,DUPLICATE
TNS_0523_V,PRINCIPAL
TNS_0524_V,DUPLICATE
TNS_0525_V,PRINCIPAL
TNS_0526_V,PRINCIPAL
TNS_0527_V,PRINCIPAL
TNS_0528_V,PRINCIPAL
TNS_0529_V,PRINCIPAL
TNS_0530_V,DUPLICATE
TNS_0531_V,PRINCIPAL
TNS_0532_V,PRINCIPAL
TNS_0533_V,PRINCIPAL
TNS_0534_V,PRINCIPAL
TNS_0535_V,PRINCIPAL
TNS_0536_V,PRINCIPAL
TNS_0537_V,PRINCIPAL
TNS_0538_V,PRINCIPAL
TNS_0539_V,PRINCIPAL
TNS_0540_V,PRINCIPAL
TNS_0541_V,PRINCIPAL
TNS_0542_V,PRINCIPAL
TNS_0543_V,PRINCIPAL
TNS_0544_V,PRINCIPAL
TNS_0545_V,PRINCIPAL
TNS_0546_V,PRINCIPAL
TNS_0547_V,PRINCIPAL
TNS_0548_V,PRINCIPAL
TNS_0549_V,PRINCIPAL
TNS_0550_V,PRINCIPAL
TNS_0551_V,PRINCIPAL
TNS_0552_V,PRINCIPAL
TNS_0553_V,PRINCIPAL
TNS_0554_V,PRINCIPAL
TNS_0555_V,PRINCIPAL
TNS_0556_V,PRINCIPAL
TNS_0557_V,PRINCIPAL
TNS_0558_V,DUPLICATE
TNS_0559_V,PRINCIPAL
TNS_0560_V,PRINCIPAL
TNS_0561_V,PRINCIPAL
TNS_0562_V,PRINCIPAL
TNS_0563_V,DUPLICATE
TNS_0564_V,PRINCIPAL
TNS_0565_V,PRINCIPAL
TNS_0566_V,PRINCIPAL
TNS_0567_V,PRINCIPAL
TNS_0568_V,PRINCIPAL
TNS_0569_V,PRINCIPAL
TNS_0570_V,PRINCIPAL
TNS_0571_V,PRINCIPAL
TNS_0572_V,PRINCIPAL
TNS_0573_V,PRINCIPAL
TNS_0574_V,PRINCIPAL
TNS_0575_V,DUPLICATE
TNS_0576_V,DUPLICATE
TNS_0577_V,PRINCIPAL
TNS_0578_V,PRINCIPAL
TNS_0579_V,PRINCIPAL
TNS_0580_V,PRINCIPAL
TNS_0581_V,PRINCIPAL
TNS_0582_V,PRINCIPAL
TNS_0583_V,PRINCIPAL
TNS_0584_V,PRINCIPAL
TNS_0585_V,PRINCIPAL
TNS_0586_V,PRINCIPAL
TNS_0587_V,PRINCIPAL
TNS_0588_V,DUPLICATE
TNS_0589_V,PRINCIPAL
TNS_0590_V,DUPLICATE
TNS_0591_V,PRINCIPAL
TNS_0592_V,PRINCIPAL
TNS_0593_V,DUPLICATE
TNS_0594_V,PRINCIPAL
TNS_0595_V,PRINCIPAL
TNS_0596_V,PRINCIPAL
TNS_0597_V,PRINCIPAL
TNS_0598_V,PRINCIPAL
TNS_0599_V,PRINCIPAL
TNS_0600_V,DUPLICATE
TNS_0601_V,PRINCIPAL
TNS_0602_V,PRINCIPAL
TNS_0603_V,DUPLICATE
TNS_0604_V,DUPLICATE
TNS_0605_V,PRINCIPAL
TNS_0606_V,PRINCIPAL
TNS_0607_V,DUPLICATE
TNS_0608_V,DUPLICATE
TNS_0609_V,DUPLICATE
TNS_0610_V,PRINCIPAL
TNS_0611_V,DUPLICATE
TNS_0612_V,DUPLICATE
TNS_0613_V,DUPLICATE
TNS_0614_V,PRINCIPAL
TNS_0615_V,DUPLICATE
TNS_0616_V,DUPLICATE
TNS_0617_V,DUPLICATE
TNS_0618_V,DUPLICATE
TNS_0619_V,DUPLICATE
TNS_0620_V,DUPLICATE
TNS_0621_V,PRINCIPAL
TNS_0622_V,PRINCIPAL
TNS_0623_V,PRINCIPAL
TNS_0624_V,DUPLICATE
TNS_0625_V,PRINCIPAL
TNS_0626_V,PRINCIPAL
TNS_0627_V,PRINCIPAL
TNS_0628_V,DUPLICATE
TNS_0629_V,DUPLICATE
TNS_0630_V,DUPLICATE
TNS_0631_V,DUPLICATE
TNS_0632_V,DUPLICATE
TNS_0633_V,DUPLICATE
TNS_0634_V,DUPLICATE
TNS_0635_V,DUPLICATE
TNS_0636_V,DUPLICATE
TNS_0637_V,DUPLICATE
TNS_0638_V,DUPLICATE
TNS_0639_V,DUPLICATE
TNS_0640_V,DUPLICATE
TNS_0641_V,DUPLICATE
TNS_0642_V,DUPLICATE
TNS_0643_V,DUPLICATE
TNS_0644_V,PRINCIPAL
TNS_0645_V,DUPLICATE
TNS_0646_V,DUPLICATE
TNS_0647_V,DUPLICATE
TNS_0648_V,DUPLICATE
TNS_0649_V,DUPLICATE
TNS_0650_V,DUPLICATE
TNS_0651_V,DUPLICATE
TNS_0652_V,DUPLICATE
TNS_0653_V,DUPLICATE
TNS_0654_V,DUPLICATE
TNS_0655_V,DUPLICATE
TNS_0656_V,DUPLICATE
TNS_0657_V,DUPLICATE
TNS_0658_V,DUPLICATE
TNS_0659_V,DUPLICATE
TNS_0660_V,DUPLICATE
TNS_0661_V,DUPLICATE
TNS_0662_V,DUPLICATE
TNS_0663_V,DUPLICATE
TNS_0664_V,PRINCIPAL
TNS_0665_V,DUPLICATE
TNS_0666_V,DUPLICATE
TNS_0667_V,DUPLICATE
TNS_0668_V,DUPLICATE
TNS_0669_V,DUPLICATE
TNS_0670_V,DUPLICATE
TNS_0671_V,DUPLICATE
TNS_0672_V,DUPLICATE
TNS_0673_V,DUPLICATE
TNS_0674_V,PRINCIPAL
TNS_0675_V,PRINCIPAL
TNS_0676_V,PRINCIPAL
TNS_0677_V,PRINCIPAL
TNS_0678_V,DUPLICATE
TNS_0679_V,DUPLICATE
TNS_0680_V,PRINCIPAL
TNS_0681_V,DUPLICATE
TNS_0682_V,DUPLICATE
TNS_0683_V,DUPLICATE
TNS_0684_V,DUPLICATE
TNS_0685_V,PRINCIPAL
TNS_0686_V,PRINCIPAL
TNS_0687_V,PRINCIPAL
TNS_0688_V,PRINCIPAL
TNS_0689_V,PRINCIPAL
TNS_0690_V,PRINCIPAL
TNS_0691_V,DUPLICATE
TNS_0692_V,DUPLICATE
TNS_0693_V,PRINCIPAL
TNS_0694_V,DUPLICATE
TNS_0695_V,DUPLICATE
TNS_0696_V,PRINCIPAL
TNS_0697_V,PRINCIPAL
TNS_0698_V,DUPLICATE
TNS_0699_V,PRINCIPAL
TNS_0700_V,PRINCIPAL
TNS_0701_V,DUPLICATE
TNS_0702_V,DUPLICATE
TNS_0703_V,PRINCIPAL
TNS_0704_V,PRINCIPAL
TNS_0705_V,DUPLICATE
TNS_0706_V,DUPLICATE
TNS_0707_V,DUPLICATE
TNS_0708_V,DUPLICATE
TNS_0709_V,DUPLICATE
TNS_0710_V,DUPLICATE
TNS_0711_V,DUPLICATE
TNS_0712_V,DUPLICATE
TNS_0713_V,DUPLICATE
TNS_0714_V,PRINCIPAL
TNS_0715_V,PRINCIPAL
TNS_0716_V,DUPLICATE
TNS_0717_V,DUPLICATE
TNS_0718_V,DUPLICATE
TNS_0719_V,PRINCIPAL
TNS_0720_V,PRINCIPAL
TNS_0721_I,PRINCIPAL
TNS_0722_I,PRINCIPAL
TNS_0723_I,PRINCIPAL
TNS_0724_I,PRINCIPAL
TNS_0725_I,PRINCIPAL
TNS_0726_I,PRINCIPAL
TNS_0727_I,PRINCIPAL
TNS_0728_I,PRINCIPAL
TNS_0729_I,PRINCIPAL
TNS_0730_I,PRINCIPAL
TNS_0731_I,PRINCIPAL
TNS_0732_I,PRINCIPAL
TNS_0733_I,PRINCIPAL
TNS_0734_I,PRINCIPAL
TNS_0735_I,PRINCIPAL
TNS_0736_I,PRINCIPAL
TNS_0737_I,PRINCIPAL
TNS_0738_I,PRINCIPAL
TNS_0739_I,PRINCIPAL
TNS_0740_I,PRINCIPAL
TNS_0741_I,PRINCIPAL
TNS_0742_I,PRINCIPAL
TNS_0743_I,PRINCIPAL
TNS_0744_I,PRINCIPAL
TNS_0745_I,PRINCIPAL
TNS_0746_I,PRINCIPAL
TNS_0747_I,PRINCIPAL
TNS_0748_I,PRINCIPAL
TNS_0749_I,PRINCIPAL
TNS_0750_I,PRINCIPAL
TNS_0751_I,PRINCIPAL
TNS_0752_I,PRINCIPAL
TNS_0753_I,PRINCIPAL
TNS_0754_I,PRINCIPAL
TNS_0755_I,PRINCIPAL
TNS_0756_I,PRINCIPAL
TNS_0757_I,PRINCIPAL
TNS_0758_I,PRINCIPAL
TNS_0759_I,PRINCIPAL
TNS_0760_I,PRINCIPAL
TNS_0761_I,PRINCIPAL
TNS_0762_I,PRINCIPAL
TNS_0763_I,PRINCIPAL
TNS_0764_I,PRINCIPAL
TNS_0765_I,PRINCIPAL
TNS_0766_I,PRINCIPAL
TNS_0767_I,PRINCIPAL
TNS_0768_I,PRINCIPAL
TNS_0769_I,PRINCIPAL
TNS_0770_I,PRINCIPAL
TNS_0771_I,PRINCIPAL
TNS_0772_I,PRINCIPAL
TNS_0773_I,PRINCIPAL
TNS_0774_I,PRINCIPAL
TNS_0775_I,PRINCIPAL
TNS_0776_I,PRINCIPAL
TNS_0777_I,PRINCIPAL
TNS_0778_I,PRINCIPAL
TNS_0779_I,PRINCIPAL
TNS_0780_I,PRINCIPAL
TNS_0781_I,PRINCIPAL
TNS_0782_I,PRINCIPAL
TNS_0783_I,PRINCIPAL
TNS_0784_I,PRINCIPAL
TNS_0785_I,PRINCIPAL
TNS_0786_I,PRINCIPAL
TNS_0787_I,PRINCIPAL
TNS_0788_I,PRINCIPAL
TNS_0789_I,PRINCIPAL
TNS_0790_I,PRINCIPAL
